"Line","Speaker","Text","Date","rownum","status","sentiment","score","Anger","Disgust","Fear","Joy","Sadness","Analytical","Confident","Tentative","Agreeableness","Conscientiousness","Emotional Range","Extraversion","Openness"
14,"Clinton","Well, I think that trade is an important issue. Of course, we are 5 percent of the world's population; we have to trade with the other 95 percent. And we need to have smart, fair trade deals. We also, though, need to have a tax system that rewards work and not just financial transactions. And the kind of plan that Donald has put forth would be trickle-down economics all over again. In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we've ever had. I call it trumped-up trickle-down, because that's exactly what it would be. That is not how we grow the economy. We just have a different view about what's best for growing the economy, how we make investments that will actually produce jobs and rising incomes. I think we come at it from somewhat different perspectives. I understand that. You know, Donald was very fortunate in his life, and that's all to his benefit. He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there. I don't buy that. I have a different experience. My father was a small-businessman. He worked really hard. He printed drapery fabrics on long tables, where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going. And so what I believe is the more we can do for the middle class, the more we can invest in you, your education, your skills, your future, the better we will be off and the better we'll grow. That's the kind of economy I want us to see again.","2016-09-26",11,"OK","positive",0.145807,0.768792,0.287742,0.097574,0.158808,0.142538,0.295,0,0.02,0.876,0.141,0.781,0.735,0.116
15,"Holt","Let me follow up with Mr. Trump, if you can. You've talked about creating 25 million jobs, and you've promised to bring back millions of jobs for Americans. How are you going to bring back the industries that have left this country for cheaper labor overseas? How, specifically, are you going to tell American manufacturers that you have to come back?","2016-09-26",12,"OK","negative",-0.343319,0.356064,0.274883,0.092462,0.071473,0.334545,0.337,0.452,0,0.698,0.114,0.194,0.753,0.103
16,"Trump","Well, for one thing -- and before we start on that -- my father gave me a very small loan in 1975, and I built it into a company that's worth many, many billions of dollars, with some of the greatest assets in the world, and I say that only because that's the kind of thinking that our country needs. Our country's in deep trouble. We don't know what we're doing when it comes to devaluations and all of these countries all over the world, especially China. They're the best, the best ever at it. What they're doing to us is a very, very sad thing. So we have to do that. We have to renegotiate our trade deals. And, Lester, they're taking our jobs, they're giving incentives, they're doing things that, frankly, we don't do. Let me give you the example of Mexico. They have a VAT tax. We're on a different system. When we sell into Mexico, there's a tax. When they sell in -- automatic, 16 percent, approximately. When they sell into us, there's no tax. It's a defective agreement. It's been defective for a long time, many years, but the politicians haven't done anything about it. Now, in all fairness to Secretary Clinton -- yes, is that OK? Good. I want you to be very happy. It's very important to me. But in all fairness to Secretary Clinton, when she started talking about this, it was really very recently. She's been doing this for 30 years. And why hasn't she made the agreements better? The NAFTA agreement is defective. Just because of the tax and many other reasons, but just because of the fact...","2016-09-26",13,"OK","negative",-0.10726,0.79298,0.470155,0.093933,0.037567,0.370635,0,0.824,0,0.886,0.097,0.884,0.858,0.088
17,"Holt","Let me interrupt just a moment, but...","2016-09-26",14,"OK","negative",-0.39471,0.401481,0.062484,0.094956,0.414447,0.38668,0,0,0.932,0.061,0.003,0.996,0.603,0.118
18,"Trump","Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we've created a movement. They should have been doing this for years. What's happened to our jobs and our country and our economy generally is -- look, we owe $20 trillion. We cannot do it any longer, Lester. ","2016-09-26",15,"OK","negative",-0.381028,0.427557,0.467628,0.169662,0.066211,0.311118,0.963,0,0.216,0.945,0.097,0.928,0.729,0.045
19,"Holt","Back to the question, though. How do you bring back -- specifically bring back jobs, American manufacturers? How do you make them bring the jobs back?","2016-09-26",16,"OK","neutral",NA,0.125751,0.149544,0.356106,0.31882,0.419226,0.939,0,0,0.405,0.204,0.204,0.623,0.047
20,"Trump","Well, the first thing you do is don't let the jobs leave. The companies are leaving. I could name, I mean, there are thousands of them. They're leaving, and they're leaving in bigger numbers than ever. And what you do is you say, fine, you want to go to Mexico or some other country, good luck. We wish you a lot of luck. But if you think you're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax, you're wrong. And once you say you're going to have to tax them coming in, and our politicians never do this, because they have special interests and the special interests want those companies to leave, because in many cases, they own the companies. So what I'm saying is, we can stop them from leaving. We have to stop them from leaving. And that's a big, big factor.","2016-09-26",17,"OK","negative",-0.108878,0.351587,0.22201,0.199657,0.031818,0.756874,0,0,0.785,0.961,0.032,0.628,0.966,0.021
21,"Holt","Let me let Secretary Clinton get in here.","2016-09-26",18,"OK","negative",-0.272297,0.330757,0.131302,0.213474,0.495639,0.096562,0,0,0,0.737,0.571,0.702,0.135,0.49
22,"Clinton","Well, let's stop for a second and remember where we were eight years ago. We had the worst financial crisis, the Great Recession, the worst since the 1930s. That was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm. In fact, Donald was one of the people who rooted for the housing crisis. He said, back in 2006, ""Gee, I hope it does collapse, because then I can go in and buy some and make some money."" Well, it did collapse.","2016-09-26",19,"OK","negative",-0.58732,0.66212,0.46564,0.200679,0.023293,0.246135,0.835,0,0.624,0.722,0.285,0.789,0.421,0.353
23,"Trump","That's called business, by the way.","2016-09-26",20,"OK","neutral",NA,0.126744,0.448697,0.336612,0.206268,0.144866,0,0,0,0.247,0.064,0.384,0.703,0.538
24,"Clinton","Nine million people -- nine million people lost their jobs. Five million people lost their homes. And $13 trillion in family wealth was wiped out. Now, we have come back from that abyss. And it has not been easy. So we're now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place. Independent experts have looked at what I've proposed and looked at what Donald's proposed, and basically they've said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession. They've looked at my plans and they've said, OK, if we can do this, and I intend to get it done, we will have 10 million more new jobs, because we will be making investments where we can grow the economy. Take clean energy. Some country is going to be the clean- energy superpower of the 21st century. Donald thinks that climate change is a hoax perpetrated by the Chinese. I think it's real.","2016-09-26",21,"OK","negative",-0.330946,0.759598,0.700312,0.423935,0.02494,0.306965,0.881,0,0.594,0.907,0.14,0.822,0.63,0.092
25,"Trump","I did not. I did not. I do not say that.","2016-09-26",22,"OK","negative",-0.396847,0.253238,0.278883,0.210609,0.154414,0.468564,0,0,0,0.771,0,0.997,0.748,0
26,"Clinton","I think science is real.","2016-09-26",23,"OK","positive",0.238005,0.072122,0.155588,0.554861,0.132518,0.538736,0.944,0,0,0.244,0.247,0.97,0.157,0.05
27,"Trump","I do not say that.","2016-09-26",24,"OK","negative",-0.364975,0.200922,0.351707,0.168528,0.282016,0.437634,0,0,0,0.511,0.001,0.985,0.932,0.021
28,"Clinton","And I think it's important that we grip this and deal with it, both at home and abroad. And here's what we can do. We can deploy a half a billion more solar panels. We can have enough clean energy to power every home. We can build a new modern electric grid. That's a lot of jobs; that's a lot of new economic activity. So I've tried to be very specific about what we can and should do, and I am determined that we're going to get the economy really moving again, building on the progress we've made over the last eight years, but never going back to what got us in trouble in the first place. ","2016-09-26",25,"OK","positive",0.431419,0.334558,0.105884,0.223211,0.304955,0.251317,0.149,0.802,0,0.952,0.625,0.769,0.574,0.098
29,"Holt","Mr. Trump?","2016-09-26",26,"OK","neutral",NA,0.129453,0.294746,0.262269,0.201734,0.530539,0,0,0,0.012,0.571,0.401,0.157,0.817
30,"Trump","She talks about solar panels. We invested in a solar company, our country. That was a disaster. They lost plenty of money on that one. Now, look, I'm a great believer in all forms of energy, but we're putting a lot of people out of work. Our energy policies are a disaster. Our country is losing so much in terms of energy, in terms of paying off our debt. You can't do what you're looking to do with $20 trillion in debt. The Obama administration, from the time they've come in, is over 230 years' worth of debt, and he's topped it. He's doubled it in a course of almost eight years, seven-and-a-half years, to be semi- exact. So I will tell you this. We have to do a much better job at keeping our jobs. And we have to do a much better job at giving companies incentives to build new companies or to expand, because they're not doing it. And all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving, they're gone. And, Hillary, I'd just ask you this. You've been doing this for 30 years. Why are you just thinking about these solutions right now? For 30 years, you've been doing it, and now you're just starting to think of solutions.","2016-09-26",27,"OK","negative",-0.0300721,0.769522,0.57682,0.309675,0.030905,0.406733,0,0,0.031,0.883,0.302,0.478,0.822,0.146
31,"Clinton","Well, actually...","2016-09-26",28,"OK","positive",0.596691,0.166671,0.294102,0.112361,0.212023,0.588736,0.974,0.998,0,0.012,0.571,0.401,0.157,0.817
32,"Trump","I will bring -- excuse me. I will bring back jobs. You can't bring back jobs.","2016-09-26",29,"OK","negative",-0.532421,0.233588,0.108027,0.191498,0.402784,0.309989,0,0,0,0.928,0.313,0.966,0.362,0.001
33,"Clinton","Well, actually, I have thought about this quite a bit.","2016-09-26",30,"OK","positive",0.47709,0.218432,0.304315,0.116375,0.142279,0.594827,0.874,0.103,0,0.331,0.365,0.914,0.035,0.473
34,"Trump","Yeah, for 30 years.","2016-09-26",31,"OK","neutral",NA,0.169617,0.508464,0.082948,0.29664,0.374005,0,0,0,0.441,0.571,0.401,0.023,0.46
35,"Clinton","And I have -- well, not quite that long. I think my husband did a pretty good job in the 1990s. I think a lot about what worked and how we can make it work again...","2016-09-26",32,"OK","positive",0.762655,0.183795,0.076216,0.14099,0.754437,0.22616,0.896,0,0.897,0.735,0.19,0.989,0.042,0.045
36,"Trump","Well, he approved NAFTA...","2016-09-26",33,"OK","positive",0.344738,0.130591,0.228705,0.060857,0.300902,0.4944,0,0,0,0.795,0.19,0.656,0.861,0.127
38,"Clinton","... million new jobs, a balanced budget...","2016-09-26",34,"OK","neutral",NA,0.093162,0.144833,0.122484,0.589667,0.294639,0,0,0,0.247,0.968,0.138,0.004,0.723
39,"Trump","He approved NAFTA, which is the single worst trade deal ever approved in this country.","2016-09-26",35,"OK","negative",-0.331999,0.296897,0.693601,0.15609,0.03513,0.294762,0,0,0,0.359,0.432,0.555,0.404,0.727
40,"Clinton","Incomes went up for everybody. Manufacturing jobs went up also in the 1990s, if we're actually going to look at the facts. When I was in the Senate, I had a number of trade deals that came before me, and I held them all to the same test. Will they create jobs in America? Will they raise incomes in America? And are they good for our national security? Some of them I voted for. The biggest one, a multinational one known as CAFTA, I voted against. And because I hold the same standards as I look at all of these trade deals. But let's not assume that trade is the only challenge we have in the economy. I think it is a part of it, and I've said what I'm going to do. I'm going to have a special prosecutor. We're going to enforce the trade deals we have, and we're going to hold people accountable. When I was secretary of state, we actually increased American exports globally 30 percent. We increased them to China 50 percent. So I know how to really work to get new jobs and to get exports that helped to create more new jobs.","2016-09-26",36,"OK","positive",0.00148166,0.833728,0.083154,0.25828,0.099785,0.075661,0.039,0.811,0,0.903,0.412,0.906,0.442,0.101
41,"Holt","Very quickly...","2016-09-26",37,"OK","positive",0.305738,0.176227,0.040128,0.102475,0.490965,0.379085,0,0.998,0,0.012,0.058,0.963,0.713,0.817
42,"Trump","But you haven't done it in 30 years or 26 years or any number you want to...","2016-09-26",38,"OK","negative",-0.383577,0.094219,0.229367,0.246898,0.090257,0.737723,0,0,0.96,0.785,0.011,0.947,0.488,0.099
43,"Clinton","Well, I've been a senator, Donald...","2016-09-26",39,"OK","positive",0.369097,0.17806,0.171755,0.106765,0.354042,0.517882,0,0,0,0.345,0.863,0.725,0.157,0.327
44,"Trump","You haven't done it. You haven't done it.","2016-09-26",40,"OK","negative",-0.24973,0.350745,0.249499,0.287957,0.089244,0.299723,0,0,0,0.993,0.002,0.509,0.992,0
45,"Clinton","And I have been a secretary of state...","2016-09-26",41,"OK","negative",-0.345564,0.259763,0.213467,0.262836,0.27299,0.367703,0,0,0,0.455,0.813,0.672,0.07,0.52
46,"Trump","Excuse me.","2016-09-26",42,"OK","negative",-0.314255,0.24132,0.251963,0.324807,0.31238,0.074855,0,0,0,0.97,0.571,0.994,0.981,0.001
47,"Clinton","And I have done a lot...","2016-09-26",43,"OK","neutral",NA,0.192974,0.204864,0.121301,0.355804,0.644505,0,0,0,0.653,0.51,0.888,0.357,0.232
48,"Trump","Your husband signed NAFTA, which was one of the worst things that ever happened to the manufacturing industry.","2016-09-26",44,"OK","negative",-0.747993,0.199713,0.623569,0.230325,0.061412,0.283153,0,0,0,0.432,0.659,0.128,0.433,0.625
49,"Clinton","Well, that's your opinion. That is your opinion.","2016-09-26",45,"OK","positive",0.63937,0.245368,0.305831,0.281157,0.275003,0.192527,0,0,0,0.913,0.016,0.006,0.992,0.008
50,"Trump","You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent. NAFTA is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country. And now you want to approve Trans-Pacific Partnership. You were totally in favor of it. Then you heard what I was saying, how bad it is, and you said, I can't win that debate. But you know that if you did win, you would approve that, and that will be almost as bad as NAFTA. Nothing will ever top NAFTA.","2016-09-26",46,"OK","negative",-0.379387,0.565831,0.514531,0.270297,0.016753,0.340898,0.487,0,0.784,0.935,0.018,0.732,0.956,0.022
51,"Clinton","Well, that is just not accurate. I was against it once it was finally negotiated and the terms were laid out. I wrote about that in...","2016-09-26",47,"OK","neutral",NA,0.247213,0.288488,0.190578,0.102393,0.386427,0.396,0,0.98,0.627,0.097,0.942,0.093,0.328
52,"Trump","You called it the gold standard.","2016-09-26",48,"OK","neutral",NA,0.183044,0.339912,0.138771,0.329042,0.260029,0,0,0,0.902,0.253,0.004,0.988,0.06
54,"Trump","You called it the gold standard of trade deals. You said it's the finest deal you've ever seen.","2016-09-26",49,"OK","positive",0.706404,0.116128,0.534187,0.15074,0.395357,0.260362,0,0,0,0.966,0.121,0,0.994,0.015
55,"Clinton","No.","2016-09-26",50,"OK","negative",-0.423725,0.339605,0.206924,0.208588,0.130188,0.508015,0,0,0,0.012,0,0.994,0.157,0.165
56,"Trump","And then you heard what I said about it, and all of a sudden you were against it.","2016-09-26",51,"OK","negative",-0.618058,0.285778,0.459327,0.389956,0.158858,0.340158,0.435,0.299,0,0.926,0.258,0.335,0.967,0.09
57,"Clinton","Well, Donald, I know you live in your own reality, but that is not the facts. The facts are -- I did say I hoped it would be a good deal, but when it was negotiated...","2016-09-26",52,"OK","negative",-0.00374854,0.167852,0.097456,0.48178,0.086037,0.414889,0.987,0,0.612,0.889,0.006,0.991,0.906,0.011
58,"Trump","Not.","2016-09-26",53,"OK","negative",-0.36845,0.471092,0.174478,0.277348,0.154816,0.472112,0,0,0,0.012,0,0.994,0.157,0.165
59,"Clinton","... which I was not responsible for, I concluded it wasn't. I wrote about that in my book...","2016-09-26",54,"OK","positive",0.0244033,0.405906,0.332252,0.232505,0.092366,0.468543,0.977,0,0.715,0.739,0.026,0.997,0.006,0.02
60,"Trump","So is it President Obama's fault?","2016-09-26",55,"OK","negative",-0.784818,0.392077,0.555698,0.119482,0.069005,0.301801,0,0,0,0.1,0.571,0.401,0.019,0.453
61,"Clinton","... before you even announced.","2016-09-26",56,"OK","negative",-0.278269,0.17073,0.377441,0.259121,0.147745,0.300794,0,0,0.992,0.918,0.524,0.061,0.905,0.087
62,"Trump","Is it President Obama's fault?","2016-09-26",57,"OK","negative",-0.764632,0.382063,0.579082,0.162245,0.068423,0.225558,0,0,0,0.119,0.571,0.401,0.012,0.387
63,"Clinton","Look, there are differences...","2016-09-26",58,"OK","neutral",NA,0.148733,0.144692,0.313584,0.245866,0.414371,0,0,0,0.494,0.025,0.522,0.446,0.152
64,"Trump","Secretary, is it President Obama's fault?","2016-09-26",59,"OK","negative",-0.700747,0.386602,0.571316,0.173672,0.071364,0.219218,0,0,0,0.1,0.571,0.401,0.001,0.453
65,"Clinton","There are...","2016-09-26",60,"OK","neutral",NA,0.134638,0.150328,0.534879,0.265601,0.395629,0,0,0,0.664,0.011,0.562,0.157,0.152
66,"Trump","Because he's pushing it.","2016-09-26",61,"OK","neutral",NA,0.306197,0.277501,0.264859,0.118471,0.295561,0.974,0,0,0.795,0.04,0.888,0.733,0.021
67,"Clinton","There are different views about what's good for our country, our economy, and our leadership in the world. And I think it's important to look at what we need to do to get the economy going again. That's why I said new jobs with rising incomes, investments, not in more tax cuts that would add $5 trillion to the debt.","2016-09-26",62,"OK","positive",0.223092,0.373233,0.270655,0.169483,0.082502,0.449677,0.337,0,0.199,0.689,0.049,0.932,0.603,0.157
68,"Trump","But you have no plan.","2016-09-26",63,"OK","negative",-0.305234,0.072689,0.131735,0.351159,0.157468,0.665939,0,0,0,0.648,0.001,0.922,0.917,0.029
69,"Clinton","But in -- oh, but I do.","2016-09-26",64,"OK","negative",-0.234814,0.103217,0.112614,0.377346,0.193968,0.675889,0,0,0,0.486,0,0.998,0.357,0.132
70,"Trump","Secretary, you have no plan.","2016-09-26",65,"OK","negative",-0.275204,0.08684,0.198371,0.379202,0.16303,0.471163,0,0,0,0.648,0.138,0.087,0.73,0.065
71,"Clinton","In fact, I have written a book about it. It's called ""Stronger Together."" You can pick it up tomorrow at a bookstore...","2016-09-26",66,"OK","neutral",NA,0.157832,0.276932,0.259895,0.219152,0.429449,0.838,0,0.609,0.945,0.831,0.097,0.885,0.098
72,"Trump","That's about all you've...","2016-09-26",67,"OK","neutral",NA,0.062439,0.473536,0.182837,0.254819,0.410516,0,0.938,0,0.795,0.025,0.479,0.981,0.116
74,"Holt","Folks, we're going to...","2016-09-26",68,"OK","positive",0.465329,0.16618,0.050454,0.244985,0.476539,0.525725,0,0,0,0.998,0.571,0.562,0.989,0.002
75,"Clinton","... or at an airport near you.","2016-09-26",69,"OK","negative",-0.306167,0.245956,0.256507,0.352381,0.143777,0.365359,0,0,0.957,0.757,0.183,0.032,0.775,0.641
76,"Holt","We're going to move to...","2016-09-26",70,"OK","positive",0.316324,0.250677,0.042113,0.297823,0.283746,0.592585,0,0,0,0.986,0.571,0.546,0.888,0.02
77,"Clinton","But it's because I see this -- we need to have strong growth, fair growth, sustained growth. We also have to look at how we help families balance the responsibilities at home and the responsibilities at business. So we have a very robust set of plans. And people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs, and explode the debt which would have a recession. ","2016-09-26",71,"OK","positive",0.390394,0.400964,0.244156,0.345157,0.046252,0.234394,0.138,0.835,0,0.923,0.045,0.965,0.505,0.061
78,"Trump","You are going to approve one of the biggest tax cuts in history. You are going to approve one of the biggest tax increases in history. You are going to drive business out. Your regulations are a disaster, and you're going to increase regulations all over the place. And by the way, my tax cut is the biggest since Ronald Reagan. I'm very proud of it. It will create tremendous numbers of new jobs. But regulations, you are going to regulate these businesses out of existence. When I go around -- Lester, I tell you this, I've been all over. And when I go around, despite the tax cut, the thing -- the things that business as in people like the most is the fact that I'm cutting regulation. You have regulations on top of regulations, and new companies cannot form and old companies are going out of business. And you want to increase the regulations and make them even worse. I'm going to cut regulations. I'm going to cut taxes big league, and you're going to raise taxes big league, end of story.","2016-09-26",72,"OK","negative",-0.206212,0.672607,0.253729,0.099264,0.025531,0.392755,0,0.237,0,0.623,0.236,0.557,0.62,0.169
79,"Holt","Let me get you to pause right there, because we're going to move into -- we're going to move into the next segment. We're going to talk taxes...","2016-09-26",73,"OK","positive",0.157522,0.287436,0.14134,0.459638,0.15213,0.330989,0,0,0,0.99,0.197,0.637,0.974,0.01
80,"Clinton","That can't -- that can't be left to stand.","2016-09-26",74,"OK","negative",-0.641545,0.25096,0.221649,0.306092,0.201532,0.418018,0,0,0,0.073,0.009,0.936,0.157,0.306
81,"Holt","Please just take 30 seconds and then we're going to go on.","2016-09-26",75,"OK","neutral",NA,0.42582,0.370249,0.152161,0.16393,0.259888,0,0,0.77,0.954,0.742,0.35,0.528,0.081
82,"Clinton","I kind of assumed that there would be a lot of these charges and claims, and so...","2016-09-26",76,"OK","neutral",NA,0.2999,0.44769,0.138397,0.108363,0.382059,0,0,0.557,0.32,0.049,0.948,0.297,0.617
83,"Trump","Facts.","2016-09-26",77,"OK","neutral",NA,0.343163,0.176401,0.234023,0.140069,0.349188,0.998,0.999,0,0.012,0,0.998,0.936,0.31
84,"Clinton","So we have taken the home page of my website, HillaryClinton.com, and we've turned it into a fact-checker. So if you want to see in real-time what the facts are, please go and take a look. Because what I have proposed...","2016-09-26",78,"OK","negative",-0.0362687,0.451087,0.430898,0.19482,0.100984,0.38441,0.65,0.848,0,0.863,0.036,0.964,0.793,0.077
85,"Trump","And take a look at mine, also, and you'll see.","2016-09-26",79,"OK","positive",0.428213,0.253929,0.428683,0.422981,0.293136,0.281557,0,0,0,0.951,0.247,0.491,0.914,0.121
86,"Clinton","... would not add a penny to the debt, and your plans would add $5 trillion to the debt. What I have proposed would cut regulations and streamline them for small businesses. What I have proposed would be paid for by raising taxes on the wealthy, because they have made all the gains in the economy. And I think it's time that the wealthy and corporations paid their fair share to support this country.","2016-09-26",80,"OK","positive",0.078223,0.396763,0.759378,0.044119,0.045765,0.271085,0.952,0.71,0,0.252,0.111,0.868,0.503,0.317
87,"Holt","Well, you just opened the next segment.","2016-09-26",81,"OK","positive",0.3386,0.138022,0.218467,0.236644,0.358718,0.253428,0,0,0.932,0.602,0.82,0.046,0.713,0.31
88,"Trump","Well, could I just finish -- I think I...","2016-09-26",82,"OK","positive",0.395107,0.180239,0.221874,0.151185,0.324059,0.475841,0.801,0,0.992,0.718,0.036,0.998,0.07,0.002
90,"Holt","I'm going to give you a chance right here...","2016-09-26",83,"OK","positive",0.750629,0.249064,0.069022,0.344972,0.380073,0.382353,0,0,0.846,0.93,0.792,0.091,0.919,0.089
91,"Trump","I think I should -- you go to her website, and you take a look at her website.","2016-09-26",84,"OK","positive",0.557817,0.225245,0.819824,0.161543,0.061004,0.430452,0.435,0,0,0.955,0.258,0.571,0.936,0.018
92,"Holt","... with a new 15-minute segment...","2016-09-26",85,"OK","positive",0.525381,0.11941,0.245454,0.136597,0.497695,0.161565,0,0,0,0.465,0.983,0.102,0.393,0.985
93,"Trump","She's going to raise taxes $1.3 trillion.","2016-09-26",86,"OK","negative",-0.49287,0.115277,0.429134,0.108274,0.094007,0.517053,0,0,0,0.664,0.571,0.251,0.056,0.24
